Year,Austrian Empire,Russian Empire,Prussia,Republic of Kraków,Saxony,Denmark,Ottoman Empire,United Kingdom of Great Britain and Ireland,Bavaria,Papal States,,Württemberg,Germany,Austria Hungary,Romania,New South Wales (UK),France,United States of America,Belgium,Spain,Italy,Switzerland,Bosnia-Herzegovina,Paraguay,Netherlands,Argentina,German Empire,Austro-Hungarian Empire,United States,Kingfom of Italy,Serbia,Canada,Poland,Czechoslovakia,Ukraine,Yugoslavia,Austria,Mandatory Palestine (GB),Finland,Chinese Warlords,USSR,British Raj,Australia,Latvia,Estonia,Sweden,Norway,Lithuania,Empire of Japan,White Russia,Greece,Hungary,Azerbaijan,United Kingdom,Chile,Israel,Bulgaria,Iran,Turkey,Brazil,Mexico,New Zealand,India,Germany (Soviet),Iceland,Portugal,Germany (USA),Germany (UK),China,Germany (France),Japan (USA),Mongolia,Lebanon,Cuba,Sri Lanka,Albania,Korea (USSR),Indonesia,East Germany,West Germany,Japan,Egypt,Vietnam,"Korea, Republic of",Pakistan,Panama,Ecuador,South Africa,Colombia,Venezuela,Thailand,Dominican Republic,Nicaragua,Iraq,Costa Rica,Syria,Taiwan,Philippines,Ireland,Bahamas,Czech Republic,Slovenia,Russia,Montenegro,Croatia,Bosnia and Herzegovina,Slovakia,Byelarus,Macedonia,Zimbabwe,Kuwait,Morocco,Georgia,Cambodia,Bangladesh,Uzbekistan,Moldova,United Arab Emirates,Ethiopia,Jordan
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,26.0,0.0,1.8333333333333333,2.0,7.5,10.833333333333334,0.0,0.0,8.0,0.0,0.0,0.0,5.166666666666667,0.0,0.0,4.166666666666667,13.0,38.55555555555556,0.0,11.166666666666666,25.472222222222218,0.0,5.777777777777779,0.0,16.333333333333332,0.0,0.6666666666666666,0.0,0.0,1.8888888888888886,2.3333333333333335,0.0,0.0,0.0,2.0,20.61111111111111,0.0,9.333333333333334,0.0,2.3333333333333335,2.6666666666666665,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,27.138888888888896,46.44444444444446,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,23.333333333333332,0.0,1.8333333333333333,2.3333333333333335,9.166666666666666,10.03888888888889,0.0,0.0,8.75,0.0,0.0,0.0,6.666666666666667,0.0,0.0,4.25,14.0,37.63888888888889,0.0,12.5,27.055555555555554,0.0,3.777777777777778,0.0,15.666666666666666,0.0,0.6666666666666666,0.0,0.0,1.722222222222222,3.0,0.0,0.0,0.0,2.3333333333333335,21.277777777777775,0.0,10.416666666666666,0.0,2.0,3.3333333333333335,0.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,26.783333333333335,45.51111111111112,2.6666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.166666666666668,0.0,1.1666666666666667,3.1666666666666665,9.833333333333334,8.955555555555556,0.0,0.3333333333333333,8.75,0.0,0.0,0.0,4.166666666666667,0.0,0.0,4.5,15.666666666666666,35.25,0.0,13.333333333333334,27.75,0.0,4.0,0.0,16.333333333333332,0.0,0.0,0.0,0.0,0.7777777777777778,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,20.916666666666664,0.0,11.027777777777777,0.0,1.6666666666666667,4.0,0.0,2.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75555555555556,46.316666666666684,2.3333333333333335,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,23.833333333333332,0.0,0.8333333333333334,3.1666666666666665,9.0,6.1499999999999995,0.0,0.6666666666666666,9.083333333333334,0.0,0.0,0.0,5.5,0.0,0.0,3.444444444444444,15.0,34.52777777777778,0.0,14.277777777777779,29.861111111111104,0.0,3.3333333333333335,0.0,16.333333333333332,0.0,0.5,0.0,0.0,0.9444444444444445,2.6666666666666665,0.0,0.0,0.0,2.6666666666666665,17.444444444444443,0.0,11.444444444444445,0.0,2.3333333333333335,4.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.8333333333333334,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.144444444444446,43.51111111111112,1.6666666666666667,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,28.11111111111111,0.0,1.5,4.722222222222222,9.0,6.75,0.0,0.6666666666666666,8.0,0.0,0.0,0.0,6.694444444444444,0.0,0.0,3.338888888888889,17.333333333333332,34.38888888888889,0.0,14.944444444444445,31.027777777777775,0.0,5.333333333333333,0.0,16.666666666666668,0.0,0.9166666666666666,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.6666666666666667,18.038888888888888,0.0,11.705555555555556,0.0,3.6666666666666665,3.3333333333333335,1.3333333333333333,0.3333333333333333,1.1666666666666667,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49444444444445,49.03333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,32.94444444444444,0.0,2.0,4.888888888888888,9.666666666666666,5.661111111111111,0.0,0.3333333333333333,8.722222222222221,0.0,0.0,0.0,7.927777777777777,0.0,0.0,2.4333333333333336,19.333333333333332,36.333333333333336,0.0,17.61111111111111,32.78095238095238,0.0,4.0,0.0,15.388888888888888,0.0,1.25,0.0,0.0,1.5555555555555554,3.6666666666666665,0.0,0.0,0.0,2.6666666666666665,24.46666666666667,0.0,15.116666666666669,0.0,4.0,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.8333333333333333,0.7777777777777777,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.02619047619048,51.781746031746046,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.6666666666666665,0.0,33.44444444444444,0.0,2.8333333333333335,5.055555555555555,11.666666666666666,5.561111111111111,0.0,0.0,10.222222222222221,0.0,0.0,0.0,8.011111111111111,0.0,0.0,2.877777777777778,20.666666666666668,39.24999999999999,0.0,18.88888888888889,29.480952380952385,0.0,4.333333333333333,0.0,14.055555555555555,0.0,0.75,0.0,0.0,1.8888888888888886,4.333333333333333,0.0,0.0,0.0,1.6666666666666667,27.438888888888886,0.0,16.17222222222222,0.0,4.333333333333333,3.0,1.3333333333333333,1.0,2.1666666666666665,1.472222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.292857142857144,47.19285714285715,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.6666666666666665,0.0,36.833333333333336,0.0,2.8333333333333335,6.166666666666667,14.666666666666666,5.2,0.0,0.0,9.722222222222221,0.0,0.0,0.0,6.983333333333333,0.0,0.0,2.566666666666667,23.25,43.638888888888886,0.0,17.555555555555557,27.49021164021164,0.0,3.3333333333333335,0.0,13.388888888888888,0.0,0.3333333333333333,0.0,0.0,2.388888888888889,3.6666666666666665,0.0,0.0,0.0,2.0,26.399999999999995,0.0,17.18888888888889,0.0,4.0,2.6666666666666665,1.6666666666666667,3.3333333333333335,2.3333333333333335,2.138888888888889,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,29.798412698412704,42.51137566137567,1.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3.6666666666666665,0.0,39.666666666666664,0.0,2.3333333333333335,7.0,16.333333333333332,5.622222222222221,0.0,0.0,9.333333333333334,0.0,0.0,0.0,8.472222222222223,0.0,0.0,3.055555555555556,23.083333333333332,44.638888888888886,0.0,16.055555555555557,22.58425925925926,0.0,3.6666666666666665,0.0,12.666666666666666,0.0,0.3333333333333333,0.0,0.0,2.8333333333333335,4.666666666666667,0.0,0.0,0.0,1.0,24.0,0.0,17.88888888888889,0.0,4.666666666666667,2.3333333333333335,2.6666666666666665,4.333333333333333,2.0,1.861111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,29.336111111111112,40.79074074074075,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,45.333333333333336,0.0,2.5,8.666666666666666,17.400000000000002,7.375,0.0,0.0,10.833333333333334,0.0,0.0,0.0,10.833333333333334,0.0,0.0,2.2777777777777777,22.416666666666668,49.455555555555556,0.0,15.166666666666666,27.1037037037037,0.0,3.3333333333333335,0.0,13.333333333333334,0.0,0.3333333333333333,0.0,0.0,3.3333333333333335,4.666666666666667,0.0,0.0,0.0,2.6666666666666665,23.333333333333332,0.0,23.861111111111104,0.0,4.666666666666667,2.0,2.3333333333333335,7.833333333333333,1.8333333333333333,1.9444444444444446,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,27.70555555555556,47.68240740740742,2.6666666666666665,0.3333333333333333,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
