,year,geonames_name,geonames_country,geonames_id,geonames_lat,geonames_lng,weight,country_codes,map_year,historical_coutry_name
10248,1851,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16494,1851,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16445,1852,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25384,1852,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
22632,1852,London,United Kingdom,2643743,51.50853,-0.12574,0.5,GBR,1815,United Kingdom of Great Britain and Ireland
22631,1852,Cambridge,United Kingdom,2653941,52.2,0.11667,0.5,GBR,1815,United Kingdom of Great Britain and Ireland
16470,1852,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
1882,1853,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1815,Austrian Empire
16444,1853,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20910,1853,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14181,1853,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14204,1853,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16486,1853,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15449,1854,Lviv,Ukraine,702550,49.83826,24.02324,1.0,UKR,1815,Austrian Empire
16447,1854,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9442,1854,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20700,1854,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16487,1854,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9419,1855,Regensburg,Germany,2849483,49.01513,12.10161,1.0,DEU,1815,Bavaria
9464,1855,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
14187,1855,Regensburg,Germany,2849483,49.01513,12.10161,1.0,DEU,1815,Bavaria
20688,1855,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
20689,1855,Regensburg,Germany,2849483,49.01513,12.10161,1.0,DEU,1815,Bavaria
9438,1855,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9431,1856,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9449,1856,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
20695,1856,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
16493,1856,Klagenfurt,Austria,2774326,46.62472,14.30528,1.0,AUT,1815,Austrian Empire
24229,1856,Leipzig,Germany,2879139,51.33962,12.37129,0.5,DEU,1815,Saxony
16471,1856,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
