,country,language,map_year,weights
149,United Kingdom of Great Britain and Ireland,slv,1929,1.0
150,Czechoslovakia,slv,1929,1.0
151,Yugoslavia,mak,1929,1.0
152,Argentina,spa,1929,1.0
153,Czechoslovakia,oci,1929,1.0
154,United Kingdom,eng,1945,75.5
155,Belgium,fre,1945,1.0
156,United States,eng,1945,25.333333333333332
157,Germany (Soviet),ger,1945,156.08333333333331
158,Czechoslovakia,rus,1945,38.0
159,France,fre,1945,54.0
160,USSR,rus,1945,103.0
161,Israel,heb,1945,12.0
162,Czechoslovakia,slo,1945,127.0
163,Chile,spa,1945,1.0
164,Yugoslavia,slv,1945,20.0
165,Denmark,dan,1945,12.0
166,Belgium,eng,1945,1.0
167,Bulgaria,bul,1945,39.0
168,Switzerland,ger,1945,19.583333333333336
169,Czechoslovakia,pol,1945,16.5
170,Spain,spa,1945,7.0
171,Hungary,hun,1945,35.666666666666664
172,Argentina,spa,1945,9.0
173,Czechoslovakia,cre,1945,2.0
174,Czechoslovakia,eng,1945,47.833333333333336
175,Italy,ita,1945,23.0
176,United States,slo,1945,2.0
177,Czechoslovakia,ger,1945,59.666666666666664
178,Iceland,ice,1945,1.0
179,Czechoslovakia,fre,1945,22.5
180,Czechoslovakia,che,1945,2.0
181,Poland,pol,1945,169.5
182,USSR,ukr,1945,15.0
183,Switzerland,eng,1945,1.0
184,Norway,nor,1945,10.0
185,Yugoslavia,hrv,1945,42.0
186,Netherlands,dut,1945,9.0
187,Sweden,ger,1945,3.0
188,Czechoslovakia,hrv,1945,8.0
189,Denmark,swe,1945,1.0
190,Sweden,swe,1945,10.0
191,Yugoslavia,srp,1945,11.0
192,Austria,ger,1945,36.583333333333336
193,Czechoslovakia,spa,1945,3.0
194,Czechoslovakia,ita,1945,6.0
195,Sweden,dan,1945,1.0
196,Finland,fin,1945,2.0
197,Yugoslavia,fre,1945,1.0
198,Brazil,por,1945,1.5
199,Portugal,por,1945,1.5
200,Germany (USA),ger,1945,15.166666666666668
201,United Kingdom,ger,1945,0.75
202,Germany (Soviet),lav,1945,1.0
203,Czechoslovakia,cad,1945,1.0
204,Germany (USA),eng,1945,2.0
205,Italy,slv,1945,3.0
206,Czechoslovakia,jpn,1945,1.0
207,Germany (Soviet),wen,1945,6.0
208,Germany (UK),ger,1945,10.666666666666668
209,Netherlands,epo,1945,1.0
210,China,chi,1945,22.0
211,United States,yid,1945,1.0
212,Czechoslovakia,epo,1945,4.0
213,Netherlands,eng,1945,0.3333333333333333
214,Czechoslovakia,chi,1945,3.0
215,Romania,rum,1945,9.0
216,Mexico,spa,1945,2.0
217,France,spa,1945,1.0
218,India,urd,1945,1.0
219,Czechoslovakia,hun,1945,36.333333333333336
220,USSR,lit,1945,2.0
221,Japan (USA),jpn,1945,5.0
222,USSR,arm,1945,3.0
223,Iran,per,1945,1.0
224,India,hin,1945,1.0
225,Australia,eng,1945,1.5
226,Austria,eng,1945,1.5
227,Poland,ger,1945,1.5
228,Czechoslovakia,srp,1945,1.0
229,Mongolia,mon,1945,2.0
230,Israel,eng,1945,1.0
231,United Kingdom,hrv,1945,1.0
232,Czechoslovakia,ukr,1945,5.0
233,Hungary,eng,1945,1.0
234,USSR,wen,1945,1.0
235,Italy,fre,1945,2.0
236,United Kingdom,pol,1945,4.0
237,Poland,eng,1945,1.0
238,United Kingdom,epo,1945,3.0
239,Yugoslavia,mac,1945,1.0
240,Czechoslovakia,slv,1945,2.0
241,Israel,yid,1945,1.0
242,Canada,fre,1945,1.0
243,Turkey,tur,1945,1.0
244,Spain,epo,1945,1.0
245,Germany (Soviet),eng,1945,2.0
246,Canada,che,1945,1.0
247,China,mon,1945,1.0
248,Italy,hrv,1945,1.0
249,Lebanon,ara,1945,1.0
250,Romania,hun,1945,2.0
