,country,language,map_year,weights
761,Spain,cat,1989,40.0
762,Turkey,tur,1989,40.0
763,Yugoslavia,slv,1989,14.5
764,Mexico,spa,1989,30.333333333333336
765,Finland,fin,1989,32.999999999999986
766,Spain,spa,1989,139.83333333333331
767,Switzerland,eng,1989,2.0
768,Czechoslovakia,slv,1989,0.5
769,Czechoslovakia,hun,1989,19.833333333333332
770,Sweden,swe,1989,46.0
771,Iran,per,1989,26.0
772,Denmark,dan,1989,62.0
773,Switzerland,fre,1989,8.0
774,USSR,tuk,1989,1.0
775,Denmark,nor,1989,1.0
776,United States,vie,1989,1.0
777,Belgium,dut,1989,8.0
778,Czechoslovakia,pol,1989,6.5
779,Yugoslavia,mac,1989,6.0
780,United Kingdom,pol,1989,2.0
781,USSR,rus,1989,31.0
782,Netherlands,eng,1989,1.0
783,"Korea, Republic of",kor,1989,30.0
784,Yugoslavia,srp,1989,11.0
785,Argentina,spa,1989,3.0
786,Norway,nor,1989,50.0
787,Spain,epo,1989,2.0
788,Japan,jpn,1989,42.0
789,USSR,lit,1989,3.0
790,Israel,heb,1989,41.0
791,Czechoslovakia,fre,1989,3.0
792,Taiwan,chi,1989,62.83333333333333
793,Romania,hun,1989,1.0
794,Brazil,por,1989,15.166666666666668
795,USSR,ukr,1989,4.0
796,Japan,eng,1989,1.0
797,West Germany,pol,1989,1.0
798,Canada,eng,1989,27.749999999999996
799,East Germany,eng,1989,0.5
800,West Germany,eng,1989,1.5
801,Greece,gre,1989,27.0
802,Yugoslavia,eng,1989,1.0
803,China,chi,1989,38.66666666666667
804,Romania,rum,1989,39.0
805,Bulgaria,bul,1989,23.0
806,Italy,spa,1989,2.0
807,Cuba,spa,1989,2.5
808,Czechoslovakia,rus,1989,3.0
809,Japan,fre,1989,2.0
810,USSR,lav,1989,2.0
811,Austria,epo,1989,3.0
812,Poland,ger,1989,1.0
813,Indonesia,ind,1989,3.0
814,Italy,ger,1989,0.5333333333333333
815,Czechoslovakia,nor,1989,1.0
816,Spain,ger,1989,0.2
817,United Kingdom,chi,1989,1.0
818,United States,ger,1989,1.3333333333333333
819,Lebanon,ara,1989,6.0
820,Czechoslovakia,spa,1989,2.5
821,East Germany,wen,1989,1.5
822,Czechoslovakia,wen,1989,0.5
823,Czechoslovakia,sla,1989,13.0
824,Turkey,ger,1989,0.5
825,Colombia,spa,1989,2.333333333333333
826,France,eng,1989,1.0
827,Philippines,tgl,1989,1.0
828,Czechoslovakia,eng,1989,28.0
829,Egypt,ara,1989,3.0
830,Belgium,fre,1989,6.833333333333333
831,France,ita,1989,2.0
832,Czechoslovakia,rum,1989,1.0
833,India,hin,1989,3.0
834,United Kingdom,ger,1989,1.0
835,Ireland,eng,1989,1.0
836,Czechoslovakia,epo,1989,3.0
837,Czechoslovakia,ita,1989,2.0
838,India,eng,1989,3.25
839,Mexico,eng,1989,1.0
840,Canada,fre,1989,1.5
841,Yugoslavia,bos,1989,1.0
842,Spain,baq,1989,7.0
843,West Germany,rus,1989,1.0
844,Brazil,epo,1989,3.0
845,Switzerland,ita,1989,2.0
846,Austria,slv,1989,2.5
847,United States,cat,1989,1.0
848,Germany,ger,1989,250.2166666666668
849,Poland,sla,1989,1.0
850,Bahamas,eng,1989,3.0
851,France,bre,1989,1.0
852,Romania,rom,1989,1.0
853,Yugoslavia,slo,1989,1.0
854,Hungary,eng,1989,1.4999999999999998
855,Sweden,kur,1989,1.0
856,Hong Kong,chi,1989,1.5
857,Iran,ger,1989,1.25
858,Czech Republic,ger,1989,75.0
859,Czech Republic,eng,1989,74.33333333333333
860,Slovenia,slv,1989,34.5
861,Serbia,hrv,1989,2.0
862,Slovakia,slo,1989,26.0
863,Czech Republic,slo,1989,37.0
864,Vietnam,vie,1989,5.0
865,Russia,rus,1989,20.5
866,Spain,eng,1989,4.0
867,Lithuania,lit,1989,12.5
868,Latvia,lav,1989,3.0
869,Ukraine,ukr,1989,4.0
870,Estonia,est,1989,8.0
871,Czech Republic,fre,1989,8.0
872,Taiwan,eng,1989,1.0
873,Czech Republic,epo,1989,8.0
874,Czech Republic,pol,1989,6.5
875,Italy,fre,1989,3.0
876,Czech Republic,spa,1989,3.0
877,Slovakia,pol,1989,0.5
878,Israel,eng,1989,2.0
879,United Kingdom,hun,1989,1.5
880,Russia,ger,1989,0.6666666666666666
881,Serbia,srp,1989,7.0
882,Czech Republic,ita,1989,8.5
883,Slovakia,hun,1989,9.0
884,Czech Republic,sla,1989,1.0
885,France,epo,1989,1.0
886,Poland,eng,1989,1.0
887,Germany,fre,1989,1.0
888,Germany,eng,1989,1.0
889,Germany,gem,1989,1.0
890,Montenegro,hrv,1989,1.0
891,Austria,eng,1989,0.5
892,United States,fre,1989,0.5
893,United States,hun,1989,0.5
894,Croatia,hrv,1989,14.0
895,United States,heb,1989,1.0
896,Bosnia and Herzegovina,bos,1989,1.0
897,France,spa,1989,0.5
898,Monaco,fre,1989,1.0
899,Ukraine,rus,1989,1.0
900,Czech Republic,hun,1989,3.0
901,Germany,wen,1989,1.0
902,Croatia,srp,1989,4.0
903,Iceland,ice,1989,3.0
904,Greece,eng,1989,0.5
905,Brazil,eng,1989,1.0
906,Spain,por,1989,1.0
907,Czech Republic,wen,1989,1.0
908,Byelarus,bel,1989,2.0
909,Singapore,eng,1989,2.0
910,Albania,alb,1989,6.0
911,Syria,ara,1989,5.0
912,Byelarus,rus,1989,0.5
913,Latvia,lit,1989,0.5
914,Czech Republic,chi,1989,1.0
915,Slovakia,eng,1989,1.0
916,Sri Lanka,sin,1989,2.0
917,Czech Republic,rus,1989,4.0
918,Czech Republic,ara,1989,1.0
919,Panama,spa,1989,1.0
920,Italy,slv,1989,1.0
921,Canada,ukr,1989,1.0
922,Italy,eng,1989,1.0
923,United States,ita,1989,0.5
924,Russia,yid,1989,1.0
925,Spain,pol,1989,0.5
926,United States,yid,1989,1.0
927,United States,eng,2000,157.58333333333331
928,Portugal,por,2000,6.5
929,Israel,eng,2000,2.0
930,United Kingdom,eng,2000,106.33333333333336
931,Netherlands,dut,2000,89.5
932,Germany,ger,2000,426.03333333333313
933,Slovenia,slv,2000,104.5
934,Hungary,hun,2000,196.0
935,France,fre,2000,285.50000000000006
936,Spain,spa,2000,192.91666666666669
937,Greece,gre,2000,14.0
938,Slovakia,hun,2000,38.0
939,Czech Republic,ger,2000,83.7
940,Spain,eng,2000,4.5
941,Czech Republic,eng,2000,172.83333333333334
942,Germany,eng,2000,6.0
943,Turkey,tur,2000,40.0
944,Mexico,spa,2000,22.833333333333336
945,Israel,heb,2000,23.0
946,Italy,ita,2000,199.0
947,Poland,pol,2000,281.0
948,Japan,jpn,2000,69.0
949,Vietnam,vie,2000,16.5
950,Croatia,hrv,2000,52.5
951,Macedonia,mac,2000,14.0
952,"Korea, Republic of",kor,2000,26.0
953,Lithuania,lit,2000,17.0
954,Canada,eng,2000,31.333333333333332
955,Russia,rus,2000,115.0
956,Switzerland,ger,2000,15.533333333333335
957,Bulgaria,bul,2000,72.0
958,Croatia,srp,2000,1.5
959,Serbia,srp,2000,28.5
960,Belgium,fre,2000,2.5
961,Austria,ger,2000,63.83333333333334
962,Romania,rum,2000,78.0
963,Slovakia,slo,2000,71.0
964,Iran,per,2000,21.0
965,Spain,cat,2000,30.0
966,Czech Republic,rus,2000,16.0
967,Argentina,spa,2000,19.75
968,China,chi,2000,93.08333333333334
969,Sweden,swe,2000,37.0
970,Hong Kong,chi,2000,1.0
971,Czech Republic,hun,2000,5.0
972,Syria,ara,2000,7.0
973,Syria,hrv,2000,1.0
974,Serbia,hrv,2000,6.5
975,Colombia,spa,2000,3.5
976,Indonesia,ind,2000,5.0
977,Taiwan,chi,2000,101.41666666666667
978,Slovakia,eng,2000,1.3333333333333333
979,Denmark,dan,2000,31.0
980,Czech Republic,ita,2000,20.0
981,Czech Republic,spa,2000,28.0
982,Iran,sin,2000,2.0
983,Norway,nor,2000,32.0
984,Sri Lanka,sin,2000,3.0
985,Ukraine,ukr,2000,12.0
986,Albania,alb,2000,8.0
987,Czech Republic,fre,2000,23.833333333333336
988,Finland,fin,2000,26.0
989,Russia,eng,2000,2.5
990,Australia,eng,2000,8.083333333333332
991,Czech Republic,epo,2000,7.0
992,Estonia,est,2000,4.0
993,Spain,baq,2000,4.0
994,Denmark,eng,2000,0.5
995,Canada,fre,2000,1.0
996,,fre,2000,5.5
997,Brazil,por,2000,9.5
998,Belgium,dut,2000,5.5
999,Sweden,epo,2000,8.0
1000,Czech Republic,slo,2000,48.0
1001,Zimbabwe,nde,2000,1.0
1002,Iraq,kur,2000,1.0
1003,Ecuador,spa,2000,1.0
1004,Montenegro,srp,2000,3.0
1005,Switzerland,fre,2000,17.666666666666664
1006,Czech Republic,pol,2000,21.5
1007,Colombia,eng,2000,1.0
1008,Hungary,fre,2000,1.0
1009,Italy,fre,2000,2.0
1010,Latvia,lav,2000,7.0
1011,France,eng,2000,4.5
1012,Iceland,ice,2000,1.0
1013,Czech Republic,slv,2000,0.5
1014,United States,vie,2000,0.5
1015,Canada,spa,2000,1.0
1016,United Kingdom,spa,2000,1.0
1017,Kuwait,ara,2000,1.0
1018,Serbia,hun,2000,1.0
1019,Czech Republic,tso,2000,1.0
1020,Bosnia and Herzegovina,hrv,2000,1.0
1021,Bosnia and Herzegovina,bos,2000,1.0
1022,Japan,eng,2000,0.5
1023,Germany,per,2000,1.0
1024,United States,chi,2000,0.5
1025,Hungary,eng,2000,1.5
1026,Italy,spa,2000,2.0
1027,Thailand,tha,2000,3.0
1028,Pakistan,urd,2000,4.0
1029,Netherlands,fry,2000,1.0
1030,Czech Republic,dut,2000,1.0
1031,Lebanon,ara,2000,6.5
1032,France,ger,2000,1.0
1033,Bahamas,eng,2000,1.0
1034,Czech Republic,rum,2000,1.0
1035,Slovakia,pol,2000,0.5
1036,Czech Republic,swa,2000,1.0
1037,France,rus,2000,2.0
1038,United Kingdom,ger,2000,0.2
1039,Byelarus,bel,2000,8.0
1040,United States,ger,2000,0.2
1041,Netherlands,spa,2000,1.5
1042,Hungary,slv,2000,1.0
1043,United States,pol,2000,1.5
1044,Ireland,eng,2000,2.0
1045,Zimbabwe,sna,2000,1.0
1046,India,hin,2000,7.0
1047,Italy,eng,2000,1.0
1048,Netherlands,pol,2000,1.5
1049,Netherlands,rus,2000,1.0
1050,United States,rus,2000,1.0
1051,Iceland,heb,2000,1.0
1052,Spain,glg,2000,5.0
1053,United States,dut,2000,1.0
1054,Netherlands,eng,2000,4.0
1055,Ukraine,slo,2000,1.0
1056,Norway,swe,2000,1.0
1057,Zimbabwe,eng,2000,1.0
1058,Israel,fre,2000,1.0
1059,Czech Republic,swe,2000,1.0
1060,United States,spa,2000,1.5
1061,Netherlands,srp,2000,0.5
1062,United States,srp,2000,1.5
1063,Netherlands,ukr,2000,1.0
1064,United States,ukr,2000,1.0
1065,Netherlands,rum,2000,2.5
1066,Netherlands,arm,2000,2.0
1067,Poland,epo,2000,1.0
1068,Czech Republic,hrv,2000,1.0
1069,Singapore,chi,2000,1.0
1070,Switzerland,ita,2000,1.0
1071,United States,fre,2000,1.5
1072,Byelarus,rus,2000,1.0
1073,Czech Republic,lav,2000,1.0
1074,India,tam,2000,1.0
1075,India,mal,2000,1.0
1076,Panama,spa,2000,1.0
1077,Czech Republic,jpn,2000,1.0
1078,Czech Republic,chi,2000,1.0
1079,Finland,eng,2000,1.0
1080,Netherlands,hun,2000,1.0
1081,United States,hun,2000,1.0
1082,Netherlands,alb,2000,1.0
1083,Netherlands,fre,2000,2.5
1084,United States,rum,2000,0.5
1085,Bosnia and Herzegovina,ger,2000,0.25
1086,Germany,fre,2000,1.0
1087,Slovenia,ger,2000,0.25
1088,Belgium,eng,2000,1.0
1089,Slovenia,hrv,2000,1.0
1090,Czech Republic,por,2000,1.0
1091,Germany,wen,2000,2.0
1092,Egypt,ger,2000,1.0
1093,Czech Republic,tib,2000,1.0
1094,Czech Republic,srp,2000,1.0
1095,Czech Republic,ara,2000,1.0
1096,Morocco,ara,2000,2.5
1097,Netherlands,ara,2000,1.0
1098,Czech Republic,wen,2000,1.0
1099,Georgia,geo,2000,1.0
1100,Cambodia,khm,2000,1.0
1101,"Korea, Republic of",eng,2000,1.0
1102,Greece,fre,2000,1.0
1103,Hong Kong,eng,2000,0.5
1104,Latvia,pol,2000,1.0
1105,Italy,ita,2011,114.5
1106,Poland,pol,2011,286.5
1107,Germany,ger,2011,331.6666666666666
1108,Czech Republic,eng,2011,152.33333333333331
1109,Spain,spa,2011,140.58333333333334
1110,France,fre,2011,182.5
1111,"Korea, Republic of",kor,2011,38.0
1112,China,chi,2011,123.0
1113,United States,eng,2011,123.41666666666667
1114,United Kingdom,eng,2011,127.41666666666667
1115,Hungary,hun,2011,82.0
1116,Spain,cat,2011,23.0
1117,Slovakia,slo,2011,37.0
1118,Egypt,ara,2011,17.0
1119,Bulgaria,bul,2011,78.0
1120,Serbia,srp,2011,45.0
1121,Netherlands,dut,2011,93.5
1122,Austria,ger,2011,105.25000000000001
1123,Slovenia,slv,2011,88.0
1124,Ukraine,ukr,2011,29.0
1125,Bosnia and Herzegovina,bos,2011,11.0
1126,Australia,eng,2011,4.5
1127,Russia,rus,2011,109.0
1128,Spain,glg,2011,6.0
1129,Denmark,dan,2011,32.0
1130,Czech Republic,ger,2011,49.0
1131,Norway,nor,2011,30.0
1132,Israel,eng,2011,1.0
1133,Czech Republic,rus,2011,13.0
1134,Lebanon,ara,2011,11.0
1135,Turkey,tur,2011,11.0
1136,Czech Republic,fre,2011,20.0
1137,Slovakia,hun,2011,7.0
1138,Czech Republic,ara,2011,3.0
1139,Romania,rum,2011,41.0
1140,Japan,jpn,2011,71.0
1141,Croatia,hrv,2011,42.0
1142,Czech Republic,slo,2011,67.0
1143,Macedonia,mac,2011,60.0
1144,Sweden,swe,2011,34.0
1145,Syria,ara,2011,10.0
1146,Brazil,por,2011,4.0
1147,Georgia,geo,2011,5.0
1148,Czech Republic,ita,2011,18.5
1149,Hungary,eng,2011,3.5
1150,Estonia,est,2011,12.0
1151,Switzerland,fre,2011,15.0
1152,Switzerland,ger,2011,7.583333333333333
1153,India,mal,2011,2.0
1154,Canada,eng,2011,10.0
1155,Taiwan,chi,2011,20.5
1156,Czech Republic,pol,2011,8.5
1157,Netherlands,alb,2011,1.0
1158,Czech Republic,spa,2011,8.25
1159,Bangladesh,ben,2011,3.0
1160,Iran,per,2011,5.0
1161,Mexico,spa,2011,18.25
1162,Portugal,por,2011,7.0
1163,Uzbekistan,uzb,2011,1.0
1164,Morocco,ara,2011,6.0
1165,Lithuania,lit,2011,5.0
1166,Germany,eng,2011,11.333333333333332
1167,Finland,fin,2011,1.0
1168,Latvia,lav,2011,19.0
1169,Israel,heb,2011,6.0
1170,Czech Republic,chi,2011,4.5
1171,Czech Republic,epo,2011,4.0
1172,Austria,eng,2011,3.0
1173,Belgium,dut,2011,5.5
1174,Byelarus,bel,2011,6.0
1175,Spain,eng,2011,5.0
1176,India,ben,2011,1.0
1177,Italy,eng,2011,2.0
1178,Argentina,spa,2011,5.083333333333333
1179,Serbia,alb,2011,1.0
1180,Israel,ger,2011,1.0
1181,Czech Republic,slv,2011,2.0
1182,Germany,wen,2011,2.0
1183,Vietnam,vie,2011,14.0
1184,Iran,dak,2011,1.0
1185,Venezuela,spa,2011,1.0
1186,Slovakia,rom,2011,1.0
1187,Czech Republic,hrv,2011,3.5
1188,Greece,gre,2011,8.0
1189,Ireland,eng,2011,1.0
1190,Moldova,rum,2011,1.0
1191,Denmark,swe,2011,1.0
1192,Poland,epo,2011,2.0
1193,Czech Republic,lat,2011,2.0
1194,Colombia,spa,2011,1.3333333333333333
1195,United Kingdom,pol,2011,1.0
1196,Iraq,kur,2011,2.0
1197,Philippines,eng,2011,2.0
1198,Lithuania,bel,2011,3.0
1199,Mongolia,mon,2011,3.0
1200,Bosnia and Herzegovina,hrv,2011,0.5
1201,Italy,ara,2011,1.0
1202,Denmark,ger,2011,12.5
1203,Thailand,tha,2011,3.0
1204,Pakistan,urd,2011,2.0
1205,United States,ita,2011,1.0
1206,Slovenia,eng,2011,1.0
1207,Serbia,eng,2011,1.0
1208,Serbia,hrv,2011,1.0
1209,India,hin,2011,3.0
1210,Czech Republic,rum,2011,1.0
1211,Portugal,eng,2011,1.0
1212,Albania,alb,2011,9.0
1213,Turkey,kur,2011,1.0
1214,Philippines,fil,2011,1.0
1215,France,eng,2011,1.0
1216,Romania,eng,2011,1.0
1217,Chile,spa,2011,1.0
1218,India,tam,2011,1.0
1219,Netherlands,ger,2011,1.0
1220,Spain,baq,2011,3.0
1221,Italy,spa,2011,0.5
1222,Hungary,hrv,2011,1.0
1223,Ireland,fre,2011,0.5
1224,United States,fre,2011,2.0
1225,United States,spa,2011,1.0
1226,United Kingdom,slv,2011,5.0
1227,Canada,fre,2011,1.0
1228,United Kingdom,fre,2011,1.0
1229,United Kingdom,ger,2011,1.0
1230,United Arab Emirates,eng,2011,1.0
1231,Ethiopia,amh,2011,8.0
1232,Indonesia,ind,2011,1.0
1233,Philippines,tgl,2011,1.0
1234,Philippines,bik,2011,1.0
1235,Serbia,slo,2011,1.0
1236,Pakistan,eng,2011,0.5
1237,Denmark,hrv,2011,1.0
1238,Sri Lanka,sin,2011,3.0
1239,Canada,ukr,2011,1.0
1240,Jordan,ara,2011,2.0
1241,Czech Republic,bos,2011,1.0
1242,Vietnam,fre,2011,1.0
1243,India,pan,2011,1.0
1244,Czech Republic,hun,2011,1.0
1245,France,ger,2011,1.0
1246,Albania,eng,2011,1.0
1247,Germany,chi,2011,1.0
1248,Germany,spa,2011,1.0
