,country,map_year,weights
178,Serbia,1978,83.0
179,Montenegro,1978,83.0
180,Spain,1978,88.25
181,Catalonia,1978,106.25
182,Albania,1978,3.0
183,Switzerland ita,1989,204.0
184,Italy,1989,204.0
185,West Germany,1989,666.0166666666676
186,East Germany,1989,666.0166666666676
187,Austria,1989,666.0166666666676
188,Switzerland ger,1989,666.0166666666676
189,Liechtenstein,1989,666.0166666666676
190,France,1989,379.99999999999994
191,Switzerland fre,1989,379.99999999999994
192,Belgium fre,1989,379.99999999999994
193,Monaco,1989,379.99999999999994
194,Luxembourg,1989,379.99999999999994
195,Estonia,1989,15.0
196,United Kingdom,1989,176.56666666666663
197,Ireland,1989,176.56666666666663
198,Croatia,1989,60.0
199,Bosnia and Herzegovina,1989,60.0
200,Serbia,1989,60.0
201,Montenegro,1989,60.0
202,Poland,1989,171.0
203,Belgium dut,1989,106.99999999999999
204,Netherlands,1989,106.99999999999999
205,Hungary,1989,142.0
206,Portugal,1989,30.999999999999996
207,Catalonia,1989,179.83333333333334
208,Turkey,1989,40.0
209,Slovenia,1989,53.0
210,Finland,1989,32.999999999999986
211,Spain,1989,139.83333333333331
212,Sweden,1989,46.0
213,Slovakia,1989,82.0
214,Denmark,1989,62.0
215,Norway,1989,52.0
216,North Macedonia,1989,6.0
217,Russia,1989,46.5
218,Lithuania,1989,16.0
219,Ukraine,1989,9.0
220,Greece,1989,27.0
221,Romania,1989,39.0
222,Moldova,1989,39.0
223,Bulgaria,1989,23.0
224,Latvia,1989,5.0
225,Byelarus,1989,2.0
226,Albania,1989,6.0
227,Portugal,2000,17.0
228,United Kingdom,2000,108.33333333333336
229,Ireland,2000,108.33333333333336
230,Belgium dut,2000,95.0
231,Netherlands,2000,95.0
232,West Germany,2000,505.3999999999997
233,East Germany,2000,505.3999999999997
234,Austria,2000,505.3999999999997
235,Switzerland ger,2000,505.3999999999997
236,Liechtenstein,2000,505.3999999999997
237,Slovenia,2000,106.0
238,Hungary,2000,234.0
239,France,2000,311.16666666666674
240,Switzerland fre,2000,311.16666666666674
241,Belgium fre,2000,311.16666666666674
242,Monaco,2000,311.16666666666674
243,Luxembourg,2000,311.16666666666674
244,Spain,2000,192.91666666666669
245,Catalonia,2000,222.91666666666669
246,Greece,2000,14.0
247,Turkey,2000,40.0
248,Switzerland ita,2000,200.0
249,Italy,2000,200.0
250,Poland,2000,307.0
251,Croatia,2000,94.0
252,Bosnia and Herzegovina,2000,94.0
253,Serbia,2000,94.0
254,Montenegro,2000,94.0
255,North Macedonia,2000,14.0
256,Lithuania,2000,17.0
257,Russia,2000,115.0
258,Bulgaria,2000,72.0
259,Romania,2000,78.0
260,Moldova,2000,78.0
261,Slovakia,2000,71.0
262,Sweden,2000,39.0
263,Denmark,2000,31.0
264,Norway,2000,32.0
265,Ukraine,2000,14.0
